iter	Passed	Remaining
0	992	98249
1	1859	91097
2	2620	84718
3	3361	80679
4	4045	76866
5	4579	71750
6	5478	72786
7	6218	71507
8	6830	69059
9	7563	68070
10	8268	66899
11	8901	65275
12	9752	65268
13	10613	65195
14	11290	63977
15	11907	62514
16	12451	60791
17	13023	59330
18	13666	58260
19	14251	57006
20	14842	55837
21	15416	54657
22	15896	53220
23	16484	52200
24	17093	51280
25	17838	50770
26	18447	49877
27	19062	49017
28	19600	47987
29	20361	47510
30	20994	46730
31	21633	45971
32	22257	45189
33	22903	44459
34	23462	43572
35	24047	42750
36	24622	41925
37	25151	41036
38	25704	40204
39	26287	39431
40	26797	38562
41	27364	37789
42	27922	37013
43	28465	36228
44	28981	35421
45	29527	34662
46	30119	33964
47	30980	33561
48	31591	32880
49	32146	32146
50	32690	31408
51	33211	30656
52	33754	29933
53	34274	29196
54	34796	28469
55	35317	27749
56	35825	27026
57	36347	26320
58	36871	25622
59	37382	24921
60	37918	24242
61	38446	23563
62	38950	22875
63	39469	22201
64	39993	21534
65	40509	20868
66	41020	20203
67	41555	19555
68	42098	18913
69	42601	18257
70	43122	17613
71	43646	16973
72	44140	16325
73	44650	15687
74	45171	15057
75	45683	14426
76	46232	13809
77	46747	13185
78	47257	12562
79	47782	11945
80	48304	11330
81	48843	10721
82	49384	10114
83	49895	9503
84	50433	8900
85	50935	8291
86	51453	7688
87	51976	7087
88	52511	6490
89	53030	5892
90	53548	5296
91	54074	4702
92	54613	4110
93	55125	3518
94	55660	2929
95	56161	2340
96	56678	1752
97	57208	1167
98	57738	583
99	58259	0
