iter	Passed	Remaining
0	402	22118
1	920	24860
2	1433	25332
3	1942	25256
4	2370	24174
5	2780	23170
6	3185	22295
7	3594	21565
8	4015	20970
9	4418	20323
10	4814	19695
11	5232	19184
12	5630	18622
13	6031	18093
14	6433	17586
15	6830	17076
16	7223	16572
17	7608	16062
18	8007	15594
19	8423	15162
20	8823	14706
21	9241	14282
22	9653	13850
23	10046	13395
24	10461	12971
25	10868	12541
26	11260	12095
27	11659	11659
28	12061	11229
29	12448	10788
30	12862	10372
31	13264	9948
32	13672	9529
33	14077	9108
34	14475	8685
35	14875	8264
36	15278	7845
37	15693	7433
38	16094	7015
39	16480	6592
40	16883	6177
41	17301	5767
42	17713	5355
43	18196	4962
44	18621	4551
45	19020	4134
46	19448	3724
47	19848	3308
48	20264	2894
49	20669	2480
50	21068	2065
51	21492	1653
52	21888	1238
53	22295	825
54	22691	412
55	23107	0
