iter	Passed	Remaining
0	295	15671
1	562	14628
2	779	13256
3	1013	12663
4	1230	12061
5	1449	11592
6	1690	11350
7	2023	11637
8	2300	11504
9	2523	11103
10	2739	10708
11	2937	10280
12	3118	9834
13	3315	9473
14	3531	9182
15	3739	8881
16	3934	8563
17	4128	8256
18	4336	7988
19	4548	7733
20	4762	7483
21	4936	7179
22	5179	6980
23	5373	6716
24	5577	6469
25	5744	6186
26	5952	5952
27	6122	5685
28	6350	5474
29	6570	5256
30	6788	5036
31	6962	4786
32	7160	4556
33	7352	4324
34	7607	4129
35	7829	3914
36	8000	3675
37	8231	3465
38	8454	3251
39	8663	3032
40	8850	2806
41	9041	2583
42	9249	2366
43	9458	2149
44	9631	1926
45	9862	1715
46	10067	1499
47	10291	1286
48	10505	1072
49	10730	858
50	10957	644
51	11173	429
52	11384	214
53	11616	0
