iter	Passed	Remaining
0	7	1071
1	13	999
2	19	963
3	26	942
4	31	908
5	38	900
6	44	888
7	51	905
8	59	912
9	66	921
10	73	917
11	80	916
12	88	915
13	94	908
14	101	903
15	108	895
16	115	891
17	122	884
18	128	874
19	135	870
20	143	865
21	150	859
22	157	855
23	164	851
24	172	846
25	180	844
26	187	841
27	195	837
28	206	848
29	218	857
30	230	868
31	239	866
32	252	878
33	341	1144
34	370	1196
35	380	1183
36	387	1163
37	395	1144
38	403	1126
39	411	1109
40	418	1090
41	425	1073
42	432	1055
43	439	1038
44	446	1021
45	453	1006
46	460	989
47	467	972
48	473	956
49	479	940
50	484	922
51	491	908
52	498	893
53	505	880
54	512	867
55	519	854
56	527	842
57	534	829
58	540	815
59	547	803
60	554	790
61	560	777
62	567	765
63	573	752
64	580	741
65	586	728
66	593	716
67	599	705
68	605	693
69	612	682
70	618	670
71	625	659
72	631	649
73	638	638
74	645	628
75	652	617
76	659	607
77	665	596
78	671	586
79	678	576
80	684	566
81	691	556
82	697	546
83	704	536
84	710	526
85	717	517
86	723	507
87	729	497
88	735	487
89	741	478
90	748	468
91	754	459
92	761	450
93	767	440
94	774	431
95	780	422
96	786	413
97	793	404
98	800	396
99	807	387
100	813	378
101	820	369
102	826	361
103	832	352
104	839	343
105	845	335
106	851	326
107	858	317
108	864	309
109	869	300
110	876	292
111	882	283
112	889	275
113	896	267
114	902	258
115	909	250
116	915	242
117	921	234
118	928	226
119	935	218
120	942	210
121	949	202
122	955	194
123	961	186
124	968	178
125	974	170
126	980	162
127	987	154
128	993	146
129	1000	138
130	1007	130
131	1013	122
132	1020	115
133	1026	107
134	1032	99
135	1038	91
136	1045	83
137	1050	76
138	1057	68
139	1063	60
140	1069	53
141	1075	45
142	1082	37
143	1089	30
144	1096	22
145	1102	15
146	1108	7
147	1115	0
